pt_root_id,Area Membership
864691135749105961,V1
864691135565118743,V1
864691135565118743,V1
864691135700498722,V1
864691137198255681,V1
864691137198255681,V1
864691135842122467,V1
864691135463211677,V1
864691135463211677,V1
864691135946397988,V1
864691135590997515,V1
864691135359807832,V1
864691136057053656,V1
864691135278836385,RL
864691136056331480,V1
864691136951622879,V1
864691136388977271,V1
864691136388977271,V1
864691135753574605,V1
864691136619214477,V1
864691135577784581,V1
864691135992393409,V1
864691136066420376,V1
864691136041056086,V1
864691135502671965,V1
864691135693452991,V1
864691135715917338,V1
864691135731098297,V1
864691135859919208,V1
864691135741004651,V1
864691135498682899,V1
864691135498682899,V1
864691135511664080,V1
864691135947773281,V1
864691135660523760,V1
864691135940611238,V1
864691135569958278,V1
864691136390368127,V1
864691135995006122,V1
864691135851644103,V1
864691135163330349,V1
864691136091807924,V1
864691135211120320,V1
864691135945478692,V1
864691135387493761,V1
864691135687812320,V1
864691136109769912,V1
864691135926611982,V1
864691136521842321,V1
864691135701302907,V1
864691136009628590,V1
864691136194766294,V1
864691135938266628,RL
864691135489239098,V1
864691136090196023,V1
864691135082766327,V1
864691135294184716,V1
864691135348308439,V1
864691135270600869,V1
864691136091526836,V1
864691135517111251,V1
864691135783495987,V1
864691135104981581,V1
864691135940541094,V1
864691135940541094,V1
864691135754536914,V1
864691136143696692,V1
864691135479357126,V1
864691135383511002,V1
864691137020843374,V1
864691135731109049,V1
864691135731109049,V1
864691135468597132,V1
864691135865517276,V1
864691135208813689,V1
864691135355413199,V1
864691137197822273,V1
864691135575864606,V1
864691135938384693,V1
864691135273110033,V1
864691136723562237,V1
864691134885735674,AL
864691136175781382,AL
864691136057019096,RL
864691136057019096,V1
864691136578547732,V1
864691135697397013,V1
864691135387543681,V1
864691135762624310,V1
864691136595448738,V1
864691136595448738,V1
864691135610394887,V1
864691136032591291,V1
864691135700362018,V1
864691135408089033,V1
864691136210039228,V1
864691136195116876,V1
864691136144514356,V1
864691135472936754,V1
864691135800466786,V1
864691135491040871,V1
864691137019987566,V1
864691135741085803,V1
864691135661221360,V1
864691135661221360,V1
864691135279124897,V1
864691135279124897,V1
864691136745100772,V1
864691135270576037,V1
864691135975502703,V1
864691136195166440,V1
864691136312596029,V1
864691136312596029,V1
864691135571379437,V1
864691135571379437,V1
864691135616421225,V1
864691135658416002,V1
864691135509476617,V1
864691135581617517,V1
864691135571723245,V1
864691136989989525,V1
864691136989989525,V1
864691135491044967,V1
864691136288741271,V1
864691136912639729,V1
864691135104956493,V1
864691135687848928,V1
864691135195175978,V1
864691135195175978,V1
864691136297668379,V1
864691135726328383,RL
864691135762028342,V1
864691135762028342,V1
864691135182123010,V1
864691135182123010,V1
864691136602132945,V1
864691135584185720,V1
864691136451703551,V1
864691136451703551,V1
864691135655103682,V1
864691136602752465,V1
864691135568756972,V1
864691136329774570,V1
864691135884849264,V1
864691136952055519,V1
864691136024791609,V1
864691135545393192,V1
864691135545393192,V1
864691135545393192,V1
864691135545393192,V1
864691135294164748,V1
864691135654685378,V1
864691135059271323,V1
864691135387528321,V1
864691135307330630,V1
864691135518339466,V1
864691135616698729,V1
864691135476905640,V1
864691135661592304,V1
864691135661592304,V1
864691135610505991,V1
864691135731236025,V1
864691135889424265,V1
864691136812814963,V1
864691135342102193,V1
864691135472962610,V1
864691136117039524,V1
864691136117039524,V1
864691136451809279,V1
864691135359690840,V1
864691135013517046,V1
864691135360900423,V1
864691136032682683,V1
864691135335389417,RL
864691135383500250,V1
864691135565579799,V1
864691135565579799,V1
864691136091993012,V1
864691135065781060,V1
864691136423476783,V1
864691135909773481,V1
864691134918409738,V1
864691135947402849,V1
864691135436615410,V1
864691136040137726,V1
864691135856296238,V1
864691136009217196,V1
864691135386357077,V1
864691135386357077,V1
864691135545228840,V1
864691135759369038,V1
864691135012916118,V1
864691135233858393,V1
864691135386226517,V1
864691135576012318,V1
864691135777507168,V1
864691135114094233,V1
864691136116873124,V1
864691135407684553,V1
864691136039407102,V1
864691135374386888,V1
864691135472952114,V1
864691136483975980,V1
864691136483975980,V1
864691135113927065,V1
864691135156584548,V1
864691135997717757,V1
864691135776790445,V1
864691136031744955,V1
864691136329902058,V1
864691135915853926,V1
864691135278716321,V1
864691136723555837,V1
864691136109466040,V1
864691136990010005,V1
864691135491882079,V1
864691135874145166,V1
864691135874145166,V1
864691135472961842,V1
864691136194092502,V1
864691135383840235,V1
864691135324001692,V1
864691136452016127,V1
864691135491264999,V1
864691135737689476,V1
864691136124622886,V1
864691136194928086,V1
864691135475523904,V1
864691136312760381,V1
864691136389310327,V1
864691135864851070,V1
864691134885069562,V1
864691135195496746,V1
864691137054537846,V1
864691136194081494,V1
864691135748985641,V1
864691136089585975,V1
864691136089585975,V1
864691135952843555,V1
864691135927195092,V1
864691135841348835,V1
864691136329813226,V1
864691135509659913,V1
864691136100885877,V1
864691135516981203,V1
864691135726240063,V1
864691135754620109,V1
864691135156282724,V1
864691135778136765,RL
864691136903951794,V1
864691135498574099,V1
864691136923661540,V1
864691135940500737,V1
864691135808592925,V1
864691135270621349,V1
864691135428891440,V1
864691136124247590,V1
864691136124247590,V1
864691135212835456,V1
864691136371401864,V1
864691135082765815,V1
864691135463256477,V1
864691135658894210,V1
864691134940823907,V1
864691135884808560,V1
864691135476950184,V1
864691135463418942,V1
864691135755478738,V1
864691135867386390,V1
864691135272812817,V1
864691136903144370,V1
864691136618042843,V1
864691135477028264,V1
864691135435098866,V1
864691135502723933,AL
864691135987915523,RL
864691135759350862,V1
864691135463804990,V1
864691136912796657,V1
864691136333748915,V1
864691136056874712,V1
864691135749302569,V1
864691135341758917,V1
864691135810121676,V1
864691135495051152,V1
864691135495051152,V1
864691135066172996,V1
864691135479043782,V1
864691135491448423,V1
864691136329706730,V1
864691135938220292,V1
864691134941068131,V1
864691135509997577,V1
864691135778215101,V1
864691136312829245,V1
864691135571805165,V1
864691135969896037,V1
864691135969896037,V1
864691135772582731,V1
864691136056931032,V1
864691136032774075,V1
864691136032774075,V1
864691135429182256,V1
864691135539234930,V1
864691135233791577,V1
864691135995581098,V1
864691135582059629,V1
864691135772726011,V1
864691136437627038,V1
864691136437627038,V1
864691135992784833,V1
864691136724611069,RL
864691136724611069,V1
864691136051346419,V1
864691135696485786,V1
864691135696485786,V1
864691135940146598,V1
864691135940146598,V1
864691135989314048,V1
864691135873614990,V1
864691136176212230,V1
864691135726179135,V1
864691134948397564,V1
864691134948397564,V1
864691135655019970,V1
864691135700215842,V1
864691135163342893,V1
864691136488221458,V1
864691135408029129,V1
864691135447525204,V1
864691135341909189,V1
864691135926818318,V1
864691135786292932,V1
864691135113910169,V1
864691135851734727,V1
864691136195097832,V1
864691135475607872,V1
864691136926174538,V1
864691136297492763,V1
864691135304411559,V1
864691135304411559,V1
864691135700506402,V1
864691135700506402,V1
864691135472721714,V1
864691137198176833,V1
864691136673999239,V1
864691136371764360,V1
864691135837182611,RL
864691135640063035,RL
864691135772809803,V1
864691135772809803,V1
864691135488719674,V1
864691136024813113,V1
864691135942221940,V1
864691135368009977,V1
864691135100451360,V1
864691135719012401,V1
864691135988110083,V1
864691135472655666,V1
864691135476736424,V1
864691135874296462,V1
864691135518091658,V1
864691135348618455,V1
864691136009397676,V1
864691135571756581,V1
864691135491384807,V1
864691136602908369,V1
864691136602908369,V1
864691135163357741,V1
864691135582150509,V1
864691135582150509,V1
864691135582150509,V1
864691135759410254,V1
864691136966720718,V1
864691135693475519,V1
864691135491136615,V1
864691136488294162,V1
864691136444706179,V1
864691136444706179,V1
864691135383828203,V1
864691134940813667,V1
864691135335301865,V1
864691135618645903,V1
864691135516308691,V1
864691135992364737,V1
864691134989687674,V1
864691136602344145,V1
864691135447173972,V1
864691135447173972,V1
864691135509288969,V1
864691135910450345,V1
864691135910450345,V1
864691135304159655,V1
864691135304159655,V1
864691135865013630,V1
864691136724473085,V1
864691135387329665,V1
864691136106383321,V1
864691135655360450,V1
864691136175979526,V1
864691135208685689,V1
864691135570045062,V1
864691135591368971,V1
864691135591368971,V1
864691135992463809,V1
864691135687884256,V1
864691136309669978,V1
864691135615109835,V1
864691136444760451,V1
864691136194831830,V1
864691135748993065,V1
864691135567724524,V1
864691135567724524,V1
864691136912587249,V1
864691136194605544,V1
864691136020892408,V1
864691136032241083,V1
864691136032241083,V1
864691135387044737,V1
864691135696495770,V1
864691135464150085,V1
864691135726437951,V1
864691135719395633,V1
864691135864572542,V1
864691136312792893,V1
864691134965447967,V1
864691135066080836,V1
864691136032547515,V1
864691135848577374,V1
864691136195154764,V1
864691135737749124,V1
864691135940493057,V1
864691135454606698,V1
864691135099855904,V1
864691135701382267,V1
864691135359756376,V1
864691135696775578,V1
864691135502646877,V1
864691135719344433,V1
864691135511231440,V1
864691137196919105,V1
864691135785246148,V1
864691135208572537,V1
864691135518374794,V1
864691136362493666,V1
864691136292063716,V1
864691136106515929,V1
864691135454100330,V1
864691135654684866,V1
864691135491109991,V1
864691135800737634,V1
864691135991524801,V1
864691135995494058,V1
864691135066013508,V1
864691135383590891,V1
864691135777834941,V1
864691136041923414,V1
864691135468992338,V1
864691136451972095,V1
864691136451972095,V1
864691135475579456,V1
864691136904007858,V1
864691136966599118,V1
864691135394906101,V1
864691135737771396,V1
864691135208701817,V1
864691135135658777,V1
864691135866400901,V1
864691135910487209,V1
864691135468468364,V1
864691135468468364,V1
864691136724748797,V1
864691136330031850,V1
864691135368002297,V1
864691135368002297,V1
864691135816613455,V1
864691136990706837,V1
864691135594384683,V1
864691135610561031,RL
864691135610561031,V1
864691135156737124,V1
864691136273723838,V1
864691135013439478,V1
864691135495425680,AL
864691135940582566,V1
864691135257244335,V1
864691135156851812,V1
864691136090098743,V1
864691135105049933,V1
864691135684864695,V1
864691135492559711,V1
864691135492559711,V1
864691136965753038,V1
864691135772732411,V1
864691134989373818,V1
864691136124225830,V1
864691135498366483,V1
864691136578560276,V1
864691135570723309,RL
864691135394881525,V1
864691135307542086,V1
864691135273243409,V1
864691135342045105,AL
864691135584768888,RL
864691135416572858,RL
864691135416572858,V1
864691135975469423,V1
864691136195051752,V1
864691135940520102,V1
864691135645381359,V1
864691135645381359,V1
864691135737477764,V1
864691135889255305,V1
864691137020742254,V1
864691135738507633,V1
864691136273771198,V1
864691136194109910,V1
864691136812745587,V1
864691136106783705,V1
864691135783467315,V1
864691136310633306,V1
864691134756155289,V1
864691135952480291,V1
864691136065926040,V1
864691136143942964,V1
864691136175783174,V1
864691136175783174,V1
864691136190620176,V1
864691135684853175,V1
864691136619340941,V1
864691136362042850,V1
864691136362042850,V1
864691136973672732,V1
864691135719020081,V1
864691136389308535,V1
864691135565574743,V1
864691136273625022,V1
864691135716103706,V1
864691135568645100,V1
864691135645484015,V1
864691135545309992,V1
864691135864861054,V1
864691135864861054,V1
864691136487855890,V1
864691135528704964,V1
864691135528704964,V1
864691135565622359,V1
864691135565622359,V1
864691136672690567,V1
864691136672690567,V1
864691135415475130,V1
864691135526916443,V1
864691135526916443,V1
864691136362726114,V1
864691135270710181,V1
864691135946832225,V1
864691137019764334,V1
864691135926879188,V1
864691135270345125,V1
864691135545320744,V1
864691135516229075,V1
864691135464596293,V1
864691135464596293,V1
864691135059266203,V1
864691136194600150,V1
864691136273755582,V1
864691135346094751,V1
864691136267394292,V1
864691135446471314,V1
864691135059548315,V1
864691135725203627,V1
864691136144585268,V1
864691136989929365,V1
864691135875967571,V1
864691137020500590,V1
864691137197864513,V1
864691135416557754,V1
864691136195271400,V1
864691135518528650,V1
864691135518528650,V1
864691136124607782,V1
864691136267390964,V1
864691135716088858,V1
864691135740615019,V1
864691135759113038,V1
864691135490565223,V1
864691135741340779,V1
864691135741340779,V1
864691136419314071,V1
864691135454853738,V1
864691136619261069,V1
864691135594310187,V1
864691135718917681,V1
864691136423695151,V1
864691135374498633,V1
864691135374498633,V1
864691136990970005,V1
864691136990485909,V1
864691135156270948,V1
864691136041825622,V1
864691136041825622,V1
864691135415449274,V1
864691135954786312,V1
864691135954786312,V1
864691135355904975,V1
864691135355904975,V1
864691135355904975,V1
864691136237548559,V1
864691135323893404,V1
864691136194355176,V1
864691136091351732,V1
864691135100282400,V1
864691135610250503,V1
864691136444269187,V1
864691135464476741,V1
864691135464476741,V1
864691135335163369,V1
864691135490863975,V1
864691135856649006,V1
864691135856649006,V1
864691135013554166,V1
864691135383444051,V1
864691136021293048,V1
864691135800501346,V1
864691136287527107,V1
864691135386378881,V1
864691135731202489,V1
864691135731202489,V1
864691135884063856,V1
864691136389509648,V1
864691135498245395,AL
864691136032596155,V1
864691135565258519,V1
864691136334793395,V1
864691136227861329,V1
864691135294029580,V1
864691135341044421,V1
864691135866809733,V1
864691135133583264,V1
864691135910659753,V1
864691136227945553,V1
864691135429624368,V1
864691136085379948,V1
864691135454826090,V1
864691135468526988,V1
864691135104903757,V1
864691135926891790,V1
864691135616885097,V1
864691136297787163,V1
864691135570337158,V1
864691135257237423,V1
864691135447572820,V1
864691135772714059,V1
864691135502360413,V1
864691135468654162,V1
864691135489096506,V1
864691135429502000,V1
864691136673009543,V1
864691136673009543,V1
864691136812804467,V1
864691135976563011,V1
864691135361033799,V1
864691136334940339,RL
864691135104861005,V1
864691135954272776,V1
864691135361086791,V1
864691135446133650,V1
864691136451103231,V1
864691135211205312,V1
864691135700930171,V1
864691134918279690,V1
864691136210075068,V1
864691136274522893,V1
864691135616889705,V1
864691135594314795,V1
864691135610662407,RL
864691135865480668,V1
864691135865480668,V1
864691135565070935,V1
864691135940600742,V1
864691135495138448,V1
864691136974561308,V1
864691136091986100,V1
864691136775479918,V1
864691135926129166,V1
864691136391096191,V1
864691136391096191,V1
864691136176254470,V1
864691135489236026,V1
864691136195140172,V1
864691135123285031,V1
864691135441300552,V1
864691135585752188,V1
864691135463128477,V1
864691135749534249,V1
864691135726427199,RL
864691135808555549,V1
864691135275348453,V1
864691135561543905,V1
864691135464238917,V1
864691137020705390,V1
864691135995308970,V1
864691135568669164,V1
864691136091947700,V1
864691135584662648,V1
864691135808286237,V1
864691135684076018,V1
864691136011535011,V1
864691136011535011,V1
864691135213436032,V1
864691135013421302,V1
864691136296663067,V1
864691135509708553,V1
864691135866365829,V1
864691136009435564,V1
864691135441429320,V1
864691135359572312,V1
864691136484092204,V1
864691135740560788,V1
864691136451543295,V1
864691135946676260,V1
864691135946676260,V1
864691135952111139,V1
864691135884675184,V1
864691135441497928,V1
864691135561463265,V1
864691136595493026,V1
864691135492305759,V1
864691135815491663,V1
864691135654696642,V1
864691135572280101,V1
864691135122469671,V1
864691135122469671,V1
864691135122469671,V1
864691136912648689,V1
864691135693706943,V1
864691135693706943,V1
864691136388640119,V1
864691135724497579,V1
864691136674053511,V1
864691136066543768,V1
864691135498144531,V1
864691135851318727,V1
864691136089937719,V1
864691135517952906,V1
864691135715889690,V1
864691135397535009,V1
864691135397535009,V1
864691135772608843,V1
864691136116812452,V1
864691135395186421,V1
864691135395186421,V1
864691137197351745,V1
864691136135475595,V1
864691135738331249,V1
864691136602552529,V1
864691136602552529,V1
864691135273246737,V1
864691135492363103,V1
864691136021446904,V1
864691135811242833,V1
864691136267233524,V1
864691136267233524,V1
864691135687820768,V1
864691135122679335,V1
864691135122679335,V1
864691135013387766,V1
864691135082455031,V1
864691135953276195,V1
864691136389261687,V1
864691135293904140,V1
864691135698596885,V1
864691135387604865,V1
864691135616871273,V1
864691135940850342,V1
864691135584811128,V1
864691135209010553,V1
864691135693839039,V1
864691135841519843,V1
864691135841519843,V1
864691135360857927,V1
864691135383435482,V1
864691135584351096,V1
864691135293993484,V1
864691136595548834,V1
864691135455072106,V1
864691135568895622,V1
864691135947471969,V1
864691135947471969,V1
864691135719395377,V1
864691135491628007,V1
864691135994524842,V1
864691137198059585,V1
864691135866373398,V1
864691135866373398,V1
864691135726377023,V1
864691136106229465,V1
864691135335326697,V1
864691135915689318,V1
864691135915689318,V1
864691135105116237,V1
864691136662659294,V1
864691135807937053,V1
864691135693281727,V1
864691135975606383,V1
864691135975606383,V1
864691135491674599,V1
864691134885267194,V1
864691136117228196,V1
864691136926153290,V1
864691135066207812,V1
864691135698362901,V1
864691135584302712,V1
864691135859432296,V1
864691135989296384,V1
864691135361088583,V1
864691135584981112,V1
864691135234094169,V1
864691136176218118,V1
864691136210271164,V1
864691136210271164,V1
864691136210271164,V1
864691135383626970,V1
864691135581551725,V1
864691136904293298,V1
864691135778182845,V1
864691135772726267,V1
864691135884672112,V1
864691135884672112,V1
864691134989666170,V1
864691134989666170,V1
864691135866577541,V1
864691135502788957,V1
864691135502788957,V1
864691135498584851,V1
864691135591041291,V1
864691135591041291,V1
864691135939661313,V1
864691136042034262,V1
864691136042034262,V1
864691135099839008,V1
864691135099839008,V1
864691137054734454,V1
864691135572069669,V1
864691135778009789,V1
864691135866479237,V1
864691135991483329,V1
864691135539219826,V1
864691135749614377,V1
864691136024440633,V1
864691135570133894,V1
864691135687415776,V1
864691135156142692,V1
864691135346058399,V1
864691136227771217,V1
864691135759529294,V1
864691136388984439,V1
864691135940758438,V1
864691135777831613,V1
864691136974474012,V1
864691135758851150,V1
864691136419277719,V1
864691136380088277,V1
864691135954518792,V1
864691135754583501,V1
864691135995687082,V1
864691135995687082,V1
864691135995687082,V1
864691135114043289,V1
864691135491107943,V1
864691135491107943,V1
864691135429888304,V1
864691136195213388,V1
864691135938508597,V1
864691135737755524,AL
864691135498461971,RL
864691135498461971,RL
864691135610036487,RL
864691135565504087,V1
864691135772471803,V1
864691135432520178,V1
864691135918744240,V1
864691136118659608,V1
864691136118659608,V1
864691136595676322,V1
864691136009620396,V1
864691136009620396,V1
864691136740800092,V1
864691135492495455,V1
864691135394893045,V1
864691135571343853,V1
864691135938320693,V1
864691135938320693,V1
864691135577487621,V1
864691135013555190,V1
864691135013555190,V1
864691135464196677,V1
864691135848868446,V1
864691136812964723,V1
864691135356005071,V1
864691135355809743,V1
864691135576320030,V1
864691136329978090,V1
864691135865828572,V1
864691135864762494,V1
864691135945379108,V1
864691136135221387,V1
864691136422819887,V1
864691135716056090,V1
864691135572111909,V1
864691137054653814,V1
864691136390803839,V1
864691134940397411,V1
864691136362037730,V1
864691136362037730,V1
864691135122912039,V1
864691135848611934,V1
864691135940271105,V1
864691134885474298,V1
864691134965415455,V1
864691135066024516,V1
864691136617544667,V1
864691135848359006,V1
864691136051731955,V1
864691135859700584,V1
864691135517951114,V1
864691135491369959,V1
864691135491369959,V1
864691135781633360,V1
864691136339508119,V1
864691136288747492,V1
864691135133510816,V1
864691135292824758,V1
864691135292824758,V1
864691135394861813,V1
864691136123695953,V1
864691136100822645,V1
864691136423603247,V1
864691136032026043,V1
864691135564950103,V1
864691135815965007,V1
864691135889475721,V1
