,Inputh Depth,Output Depth,Area Membership
0,189.5500528609538,220.43635824936447,RL
1,210.7582371166582,220.43635824936447,RL
2,171.73633584630053,220.43635824936447,RL
3,292.8212991912922,220.43635824936447,V1
4,233.73472513090232,220.43635824936447,V1
5,150.54760101445166,220.43635824936447,RL
6,150.54760101445166,220.43635824936447,RL
7,187.027250344068,220.43635824936447,RL
8,209.13198558447144,220.43635824936447,RL
9,209.13198558447144,220.43635824936447,RL
10,240.74328246122198,220.43635824936447,AL
11,169.81364200169062,220.43635824936447,RL
12,235.65776538003092,220.43635824936447,RL
13,220.37416245262423,220.43635824936447,AL
14,220.37416245262423,220.43635824936447,AL
15,220.37416245262423,220.43635824936447,RL
16,244.55482887337294,220.43635824936447,V1
17,180.90489598942344,220.43635824936447,AL
18,180.90489598942344,220.43635824936447,AL
19,469.33793953775063,220.43635824936447,AL
20,197.25296609288787,220.43635824936447,RL
21,197.56799102775386,220.43635824936447,RL
22,197.56799102775386,220.43635824936447,AL
23,259.51903947058946,220.43635824936447,RL
24,356.9690271029529,220.43635824936447,AL
25,191.460636446148,220.43635824936447,RL
26,386.29743504919935,330.8437941623397,V1
27,337.5581642334427,330.8437941623397,V1
28,390.7891731100527,330.8437941623397,V1
29,390.7891731100527,330.8437941623397,V1
30,245.37132236874902,330.8437941623397,V1
31,263.0900112953509,330.8437941623397,V1
32,296.6894926069581,330.8437941623397,V1
33,322.3590403253532,330.8437941623397,V1
34,380.4460309335945,330.8437941623397,V1
35,380.4460309335945,330.8437941623397,V1
36,447.60771108793716,330.8437941623397,V1
37,215.03972105361458,330.8437941623397,V1
38,314.1983290023397,330.8437941623397,V1
39,463.1771775579785,330.8437941623397,AL
40,162.84309228405363,144.7514301634641,RL
41,298.0436088149966,144.7514301634641,V1
42,109.2449199952443,144.7514301634641,V1
43,133.80771779320116,144.7514301634641,V1
44,133.80771779320116,144.7514301634641,V1
45,198.3557008167032,144.7514301634641,V1
46,199.23369571955055,144.7514301634641,V1
47,199.23369571955055,144.7514301634641,V1
48,250.8979317592347,144.7514301634641,V1
49,214.22626241667015,144.7514301634641,V1
50,218.15644582867128,144.7514301634641,RL
51,152.26102212684364,144.7514301634641,RL
52,361.5712285325777,144.7514301634641,V1
53,361.5712285325777,144.7514301634641,V1
54,383.0966349544776,144.7514301634641,V1
55,121.61066715588653,144.7514301634641,V1
56,211.8882240572732,144.7514301634641,RL
57,211.8882240572732,144.7514301634641,RL
58,153.06185063422245,144.7514301634641,V1
59,174.7534979932771,144.7514301634641,V1
60,166.11149215067638,144.7514301634641,V1
61,286.35987600904474,144.7514301634641,AL
62,230.53453400949348,144.7514301634641,V1
63,184.0794263125123,144.7514301634641,V1
64,175.97333875405945,144.7514301634641,V1
65,244.87121183223482,370.8683996859772,V1
66,244.8978587629286,370.8683996859772,V1
67,272.763824961586,370.8683996859772,V1
68,212.46761175114156,370.8683996859772,V1
69,347.3487401658453,370.8683996859772,V1
70,282.09027420445875,370.8683996859772,V1
71,272.9275227896363,370.8683996859772,V1
72,330.2844070437627,370.8683996859772,V1
73,324.2397108339138,370.8683996859772,V1
74,293.4690972168286,370.8683996859772,V1
75,300.28202093025374,370.8683996859772,V1
76,300.28202093025374,370.8683996859772,V1
77,194.52077520003002,370.8683996859772,V1
78,194.52077520003002,370.8683996859772,V1
79,370.02277397268017,370.8683996859772,V1
80,370.02277397268017,370.8683996859772,V1
81,269.1007479506577,370.8683996859772,V1
82,133.45627613738824,370.8683996859772,V1
83,264.49282584240774,370.8683996859772,V1
84,341.6262361699024,370.8683996859772,V1
85,291.2985156342368,370.8683996859772,RL
86,320.9066007090131,296.5573549889228,V1
87,267.1616671347027,296.5573549889228,V1
88,267.1616671347027,296.5573549889228,V1
89,262.72368656374135,296.5573549889228,V1
90,353.09945122967537,296.5573549889228,V1
91,163.38499276213318,296.5573549889228,V1
92,252.65707206711494,296.5573549889228,V1
93,288.0731475626773,350.48598327936764,RL
94,338.2188762304914,350.48598327936764,V1
95,336.6766400891173,350.48598327936764,RL
96,336.6766400891173,350.48598327936764,AL
97,285.52320741925837,350.48598327936764,RL
98,273.9202832602879,350.48598327936764,RL
99,180.90489598942344,350.48598327936764,AL
100,180.90489598942344,350.48598327936764,AL
101,195.91324173806277,350.48598327936764,AL
102,299.241395533735,350.48598327936764,AL
103,260.1917195427084,350.48598327936764,V1
104,288.83455524522003,350.48598327936764,AL
105,288.83455524522003,350.48598327936764,RL
106,294.0393193530619,350.48598327936764,AL
107,203.41849864089193,350.48598327936764,AL
108,203.41849864089193,350.48598327936764,AL
109,221.244383210094,350.48598327936764,RL
110,221.244383210094,350.48598327936764,RL
111,221.244383210094,350.48598327936764,RL
112,86.0423362430117,137.67963571587282,RL
113,249.96993620827473,137.67963571587282,V1
114,514.8180598802438,137.67963571587282,RL
115,280.89699390492655,137.67963571587282,V1
116,280.89699390492655,137.67963571587282,V1
117,133.02813066112373,137.67963571587282,V1
118,133.02813066112373,137.67963571587282,V1
119,133.02813066112373,137.67963571587282,V1
120,184.6808346601631,137.67963571587282,V1
121,412.9547450697128,137.67963571587282,V1
122,160.15965544511582,137.67963571587282,V1
123,185.40888965450094,137.67963571587282,V1
124,164.65428407307976,137.67963571587282,V1
125,269.1990984262942,137.67963571587282,V1
126,269.1990984262942,137.67963571587282,V1
127,269.1990984262942,137.67963571587282,V1
128,116.62763402442832,137.67963571587282,RL
129,412.5437668967619,228.1850245917922,V1
130,412.5437668967619,228.1850245917922,V1
131,263.34994936389586,228.1850245917922,RL
132,263.34994936389586,228.1850245917922,RL
133,148.8603981727418,228.1850245917922,V1
134,136.16297811732588,228.1850245917922,V1
135,206.50993766971382,228.1850245917922,V1
136,317.1792463137692,228.1850245917922,V1
137,425.5822811257108,228.1850245917922,V1
138,287.4212213304834,228.1850245917922,V1
139,125.53249873048294,228.1850245917922,V1
140,155.11569859821333,228.1850245917922,V1
141,110.56010607428598,228.1850245917922,V1
142,185.51513202624483,228.1850245917922,V1
143,207.5148391543234,228.1850245917922,V1
144,182.233436815098,228.1850245917922,V1
145,132.33920896246826,228.1850245917922,V1
146,299.36833234329526,228.1850245917922,V1
147,299.36833234329526,228.1850245917922,V1
148,409.7108240767647,228.1850245917922,V1
149,154.31880092498898,143.58598187973402,RL
150,154.31880092498898,143.58598187973402,AL
151,139.250658197393,143.58598187973402,V1
152,139.250658197393,143.58598187973402,V1
153,120.3293244608891,143.58598187973402,V1
154,153.03737123380398,143.58598187973402,V1
155,282.3918892045343,143.58598187973402,RL
156,312.45664405367086,143.58598187973402,V1
157,312.45664405367086,143.58598187973402,V1
158,133.80771779320116,143.58598187973402,V1
159,87.34599186164024,143.58598187973402,V1
160,87.34599186164024,143.58598187973402,V1
161,143.24745998961612,143.58598187973402,V1
162,264.9815199820313,143.58598187973402,V1
163,132.11669765411557,143.58598187973402,RL
164,65.67171444584126,143.58598187973402,V1
165,104.2640549208051,143.58598187973402,V1
166,151.18701802827272,143.58598187973402,V1
167,151.18701802827272,143.58598187973402,V1
168,91.88735341154528,143.58598187973402,V1
169,102.59716725087556,143.58598187973402,V1
170,352.03793244260544,143.58598187973402,V1
171,63.31853412906028,143.58598187973402,V1
172,343.60141489636425,143.58598187973402,V1
173,343.60141489636425,143.58598187973402,V1
174,120.23285187939834,143.58598187973402,V1
175,281.56834354712845,143.58598187973402,RL
176,137.04759178149672,143.58598187973402,V1
177,102.55303367968439,143.58598187973402,V1
178,173.07770891473857,143.58598187973402,RL
179,192.39074328573753,143.58598187973402,V1
180,192.39074328573753,143.58598187973402,V1
181,464.41678655305606,143.58598187973402,V1
182,464.41678655305606,143.58598187973402,V1
183,121.85760109626834,143.58598187973402,V1
184,180.3209461614475,143.58598187973402,V1
185,153.30826417771047,143.58598187973402,V1
186,173.89963503284187,143.58598187973402,AL
