,Inputh Depth,Output Depth,Area Membership
0,335.7220580630601,366.5252435096375,V1
1,266.47025856858846,366.5252435096375,V1
2,348.9341247995244,366.5252435096375,V1
3,238.68024555946835,366.5252435096375,V1
4,320.8781899476961,366.5252435096375,V1
5,402.0201065202023,366.5252435096375,RL
6,348.5828003676973,366.5252435096375,V1
7,287.4212213304834,366.5252435096375,V1
8,292.3828958626544,366.5252435096375,V1
9,291.1707141302395,366.5252435096375,V1
10,360.93383686468627,366.5252435096375,V1
11,360.93383686468627,366.5252435096375,V1
12,234.30766752907837,366.5252435096375,V1
13,161.93581823824528,366.5252435096375,V1
14,285.71494095654026,366.5252435096375,RL
15,421.41273580550757,366.5252435096375,V1
16,227.96072080524982,351.91926258123766,V1
17,288.4127712289232,351.91926258123766,V1
18,299.08454933474815,351.91926258123766,V1
19,299.08454933474815,351.91926258123766,V1
20,105.5521023198259,351.91926258123766,AL
21,295.0341067498751,351.91926258123766,V1
22,281.60146442108106,351.91926258123766,RL
23,360.9824195599504,351.91926258123766,RL
24,387.71045173372767,351.91926258123766,RL
25,287.43544129829706,351.91926258123766,V1
26,330.2957645652884,351.91926258123766,RL
27,393.02371168628855,351.91926258123766,V1
28,393.02371168628855,351.91926258123766,RL
29,328.0061391227313,351.91926258123766,V1
30,494.4096055162536,351.91926258123766,V1
31,238.90954856803182,351.91926258123766,V1
32,281.41476138710607,351.91926258123766,V1
33,283.11936439986965,351.91926258123766,V1
34,359.5012524788291,351.91926258123766,V1
35,406.4795910352595,351.91926258123766,V1
36,350.3688475413464,351.91926258123766,AL
37,350.3688475413464,351.91926258123766,AL
38,348.4952864899487,369.48694215797605,V1
39,348.4952864899487,369.48694215797605,V1
40,234.50405283037497,369.48694215797605,V1
41,273.87595020961817,369.48694215797605,RL
42,273.87595020961817,369.48694215797605,RL
43,132.1020151112852,369.48694215797605,V1
44,132.1020151112852,369.48694215797605,V1
45,132.1020151112852,369.48694215797605,V1
46,260.60989627598525,369.48694215797605,V1
47,423.3941274866656,369.48694215797605,RL
48,423.3941274866656,369.48694215797605,V1
49,412.9547450697128,369.48694215797605,V1
50,369.5100062392655,369.48694215797605,V1
