,Inputh Depth,Output Depth,Area Membership
0,78.71496796173608,129.31722211258958,V1
1,78.71496796173608,129.31722211258958,V1
2,308.51082430123915,129.31722211258958,V1
3,97.59754450813058,129.31722211258958,V1
4,188.3176997213355,129.31722211258958,V1
5,188.3176997213355,129.31722211258958,V1
6,252.35615040282062,129.31722211258958,V1
7,128.45544071545598,129.31722211258958,V1
8,146.5989797980722,129.31722211258958,V1
9,120.3293244608891,129.31722211258958,V1
10,120.3293244608891,129.31722211258958,V1
11,116.47023720074945,129.31722211258958,V1
12,176.86222965690348,129.31722211258958,V1
13,241.81489037572865,129.31722211258958,AL
14,231.38492818404706,129.31722211258958,V1
15,231.38492818404706,129.31722211258958,V1
16,210.0165721813073,129.31722211258958,V1
17,125.9061074383746,129.31722211258958,RL
18,252.0659809739461,160.0849743368745,V1
19,226.52235633865865,160.0849743368745,RL
20,163.2854561479004,160.0849743368745,V1
21,177.54178789867711,160.0849743368745,V1
22,177.54178789867711,160.0849743368745,V1
23,330.55281417369804,160.0849743368745,V1
24,288.7412060985799,160.0849743368745,RL
25,144.26302513322614,124.84600397043378,V1
26,121.97369762073353,124.84600397043378,V1
27,197.02548526356853,124.84600397043378,V1
28,153.30826417771047,124.84600397043378,V1
29,346.8130239948952,124.84600397043378,V1
30,149.94518315429912,124.84600397043378,V1
31,149.94518315429912,124.84600397043378,V1
32,473.17997671856216,124.84600397043378,V1
33,210.0165721813073,124.84600397043378,V1
34,73.64924776240683,124.84600397043378,V1
35,179.35306668389083,124.84600397043378,V1
36,164.2707909846686,124.84600397043378,RL
37,200.16723953699187,124.84600397043378,V1
38,144.14588834171713,124.84600397043378,V1
39,155.90083399677235,124.84600397043378,V1
40,186.84893148227147,124.84600397043378,V1
41,405.8411299260138,124.84600397043378,RL
42,196.64927615143935,124.84600397043378,V1
43,234.27677253402194,124.84600397043378,V1
44,119.02826977324195,124.84600397043378,RL
45,119.02826977324195,124.84600397043378,V1
46,99.65908067479921,124.84600397043378,V1
47,143.24745998961612,124.84600397043378,V1
48,131.0201779919718,130.64298643467592,V1
49,131.0201779919718,130.64298643467592,V1
50,90.68600880376215,130.64298643467592,V1
51,117.8705383397562,130.64298643467592,V1
52,119.02826977324195,130.64298643467592,RL
53,119.02826977324195,130.64298643467592,V1
54,353.27447740494097,130.64298643467592,V1
55,231.38492818404706,130.64298643467592,V1
56,473.17997671856216,130.64298643467592,V1
57,90.3919085407331,130.64298643467592,V1
58,446.9818514606907,130.64298643467592,V1
59,342.0841785523026,130.64298643467592,V1
60,170.52294143469825,130.64298643467592,RL
61,483.8795587193665,130.64298643467592,V1
62,483.8795587193665,130.64298643467592,V1
63,144.7514301634641,130.64298643467592,V1
64,162.84309228405363,130.64298643467592,RL
65,384.8292137476202,130.64298643467592,RL
66,134.94357075724977,130.64298643467592,V1
67,285.8607484444413,130.64298643467592,RL
68,139.3086048762827,130.64298643467592,V1
69,100.02699524465699,130.64298643467592,V1
