,Inputh Depth,Output Depth,Area Membership
0,328.1379568768392,341.2712673795869,AL
1,244.40638864646078,341.2712673795869,RL
2,221.244383210094,341.2712673795869,RL
3,229.25622406595218,341.2712673795869,V1
4,209.1943834944097,341.2712673795869,V1
5,209.1943834944097,341.2712673795869,V1
6,283.4162390595114,341.2712673795869,AL
7,397.38342724611675,341.2712673795869,AL
8,262.0945300360127,341.2712673795869,V1
9,506.4674074981382,341.2712673795869,V1
10,257.4722441953722,341.2712673795869,V1
11,360.87054087204984,341.2712673795869,AL
12,360.87054087204984,341.2712673795869,AL
13,341.53961721438924,341.2712673795869,RL
14,214.5038282565701,341.2712673795869,RL
15,310.71859924953964,341.2712673795869,AL
16,123.98586812644987,341.2712673795869,AL
17,268.44497313980196,341.2712673795869,AL
18,157.60858593149,341.2712673795869,RL
19,199.39762220138982,305.89963952496083,RL
20,199.39762220138982,305.89963952496083,V1
21,197.5863434161761,305.89963952496083,V1
22,201.3681486370932,305.89963952496083,V1
23,259.92316812145225,305.89963952496083,RL
24,268.80323461664847,305.89963952496083,AL
25,265.2222086329432,305.89963952496083,AL
26,238.2036017504079,305.89963952496083,RL
27,238.2036017504079,305.89963952496083,RL
28,457.13375026896244,305.89963952496083,V1
29,205.70719946015936,305.89963952496083,AL
30,308.5798966874026,305.89963952496083,RL
31,287.4263059684603,305.89963952496083,RL
32,261.8927105317573,300.7813193267693,RL
33,266.5293314572218,300.7813193267693,RL
34,267.02984569338787,300.7813193267693,RL
35,267.02984569338787,300.7813193267693,V1
36,310.7109402211722,300.7813193267693,RL
37,310.7109402211722,300.7813193267693,RL
38,186.2401208808652,300.7813193267693,RL
39,310.2031144146453,300.7813193267693,V1
40,294.0393193530619,300.7813193267693,AL
41,218.07294714754536,300.7813193267693,AL
42,244.40638864646078,300.7813193267693,RL
43,470.3513371510853,300.7813193267693,RL
44,276.1223953518402,223.6695853555138,AL
45,233.02216113218648,223.6695853555138,V1
46,197.56799102775386,223.6695853555138,RL
47,197.56799102775386,223.6695853555138,AL
48,246.49997624572757,223.6695853555138,RL
49,246.49997624572757,223.6695853555138,RL
50,246.49997624572757,223.6695853555138,RL
51,244.88554481008342,223.6695853555138,RL
52,370.6101061170941,223.6695853555138,AL
53,173.52348163561436,223.6695853555138,V1
54,173.52348163561436,223.6695853555138,V1
55,422.8021680118526,223.6695853555138,RL
56,244.02896580165654,198.36078492793632,V1
57,157.33234683429978,198.36078492793632,RL
58,195.91324173806277,198.36078492793632,AL
59,371.8989635491381,198.36078492793632,V1
60,184.01569691916944,198.36078492793632,RL
61,197.56799102775386,198.36078492793632,RL
62,197.56799102775386,198.36078492793632,AL
63,191.2643667886055,198.36078492793632,RL
64,425.2443661019303,198.36078492793632,V1
65,211.3620453355802,198.36078492793632,RL
66,378.5327573142559,198.36078492793632,RL
67,398.9393905524896,198.36078492793632,RL
68,263.76398893586946,183.36752542177942,V1
69,263.76398893586946,183.36752542177942,V1
70,151.6144091864158,183.36752542177942,RL
71,240.2533167670463,183.36752542177942,AL
72,184.01569691916944,183.36752542177942,RL
73,425.2443661019303,183.36752542177942,V1
