,Input Depth,Output Depth,Area Membership Root,Area Membership Post
0,335.41087591267336,349.8348357989109,RL,V1
1,295.5875965637324,349.8348357989109,V1,V1
2,309.88095084830576,349.8348357989109,RL,V1
3,344.8169763114979,349.8348357989109,V1,V1
4,403.54312189151005,349.8348357989109,RL,V1
5,284.47995507791086,349.8348357989109,V1,V1
6,404.6175890918414,349.8348357989109,RL,V1
7,404.6175890918414,349.8348357989109,RL,V1
8,404.6175890918414,349.8348357989109,RL,V1
9,404.6175890918414,349.8348357989109,RL,V1
10,363.09019742597656,349.8348357989109,RL,V1
11,158.54056961173757,349.8348357989109,RL,V1
12,316.40763596701106,349.8348357989109,RL,V1
13,335.40344817181426,349.8348357989109,RL,V1
14,335.40344817181426,349.8348357989109,RL,V1
15,335.40344817181426,349.8348357989109,AL,V1
16,310.11539895044274,349.8348357989109,V1,V1
17,274.12750726644794,349.8348357989109,V1,V1
18,250.37906355441473,349.8348357989109,V1,V1
19,250.37906355441473,349.8348357989109,V1,V1
20,250.37906355441473,349.8348357989109,V1,V1
21,265.641308409278,349.8348357989109,RL,V1
22,220.1972000345919,349.8348357989109,V1,V1
23,220.1972000345919,349.8348357989109,V1,V1
24,265.79309861785435,349.8348357989109,V1,V1
25,404.9282206175363,349.8348357989109,V1,V1
26,404.9282206175363,349.8348357989109,RL,V1
27,404.9282206175363,349.8348357989109,RL,V1
28,308.2140053564992,349.8348357989109,RL,V1
29,273.7818753924232,349.8348357989109,RL,V1
30,302.16139018320786,349.8348357989109,RL,V1
31,302.16139018320786,349.8348357989109,RL,V1
32,405.67980174143656,349.8348357989109,RL,V1
33,331.2954339601367,349.8348357989109,RL,V1
34,267.85550105919174,349.8348357989109,V1,V1
35,267.85550105919174,349.8348357989109,RL,V1
36,383.8601215908763,349.8348357989109,V1,V1
37,131.9604551610031,349.8348357989109,V1,V1
38,462.15374863908403,477.2216892534821,V1,V1
39,462.15374863908403,477.2216892534821,V1,V1
40,238.35365940964707,477.2216892534821,RL,V1
41,238.35365940964707,477.2216892534821,V1,V1
42,463.11356380838987,477.2216892534821,AL,V1
43,390.6437974426264,477.2216892534821,V1,V1
44,427.0781286426869,477.2216892534821,AL,V1
45,387.51649337103737,477.2216892534821,V1,V1
46,387.51649337103737,477.2216892534821,V1,V1
47,422.604801318877,477.2216892534821,RL,V1
48,263.6110433432389,477.2216892534821,RL,V1
49,95.59138379042474,477.2216892534821,V1,V1
50,194.39852196251422,477.2216892534821,RL,V1
51,405.8411299260138,477.2216892534821,V1,V1
52,419.75581793205345,477.2216892534821,AL,V1
53,240.24022616943944,477.2216892534821,V1,V1
54,469.23693188948715,477.2216892534821,AL,V1
55,253.10804823018523,477.2216892534821,V1,V1
56,471.4627409425136,477.2216892534821,RL,V1
57,240.8884549619626,477.2216892534821,RL,V1
58,298.0966125135108,477.2216892534821,RL,V1
59,514.5738133402872,477.2216892534821,RL,V1
60,322.2311205438822,477.2216892534821,RL,V1
61,383.90280803490856,477.2216892534821,RL,V1
62,479.00952890532096,477.2216892534821,RL,V1
63,156.06562886025577,477.2216892534821,V1,V1
64,397.04158138818184,477.2216892534821,LM,V1
65,397.04158138818184,477.2216892534821,RL,V1
66,465.846016743298,477.2216892534821,RL,V1
67,380.3643539049691,477.2216892534821,V1,V1
68,337.24293507840315,487.57087144574894,V1,V1
69,471.91735988384073,487.57087144574894,V1,V1
70,471.91735988384073,487.57087144574894,RL,V1
71,456.842800508119,487.57087144574894,V1,V1
72,481.08938828610144,487.57087144574894,V1,V1
73,245.4192387955668,487.57087144574894,RL,V1
74,353.27447740494097,487.57087144574894,V1,V1
75,273.7818753924232,487.57087144574894,AL,V1
76,278.3582940590475,487.57087144574894,RL,V1
77,237.60693479667867,487.57087144574894,RL,V1
78,237.60693479667867,487.57087144574894,AL,V1
79,237.60693479667867,487.57087144574894,AL,V1
80,237.60693479667867,487.57087144574894,AL,V1
81,361.7701845370575,487.57087144574894,AL,V1
82,305.5718417494399,487.57087144574894,V1,V1
83,305.5718417494399,487.57087144574894,RL,V1
84,186.88624154522194,487.57087144574894,V1,V1
85,186.88624154522194,487.57087144574894,RL,V1
86,362.8025705794625,487.57087144574894,V1,V1
87,362.8025705794625,487.57087144574894,RL,V1
88,465.0553320247698,487.57087144574894,V1,V1
89,479.00952890532096,487.57087144574894,AL,V1
90,475.30023831585777,487.57087144574894,AL,V1
91,167.4515326822219,487.57087144574894,V1,V1
92,167.4515326822219,487.57087144574894,V1,V1
