,Inputh Depth,Output Depth,Area Membership
0,476.3642142693322,427.0781286426869,RL
1,287.2276098990556,427.0781286426869,RL
2,339.05496502127517,427.0781286426869,RL
3,231.72151330465445,427.0781286426869,V1
4,154.44735253315693,427.0781286426869,RL
5,154.44735253315693,427.0781286426869,RL
6,154.44735253315693,427.0781286426869,RL
7,154.44735253315693,427.0781286426869,RL
8,381.99144411774546,427.0781286426869,RL
9,366.41963665179776,427.0781286426869,RL
10,261.16298028321523,419.27397384126186,V1
11,464.1186960537637,419.27397384126186,RL
12,301.94419638057235,419.27397384126186,V1
13,324.349361009199,419.27397384126186,AL
14,408.62869679457816,419.27397384126186,RL
15,331.4982926779484,419.27397384126186,V1
16,331.4982926779484,419.27397384126186,V1
17,411.00158699703326,419.27397384126186,V1
18,201.80860543248366,419.27397384126186,V1
19,201.80860543248366,419.27397384126186,V1
20,379.66173210864986,419.27397384126186,AL
21,412.7305261723824,419.27397384126186,V1
22,412.7305261723824,419.27397384126186,V1
23,412.7305261723824,419.27397384126186,V1
24,413.062459528975,419.27397384126186,V1
25,471.34615319546504,419.27397384126186,V1
26,291.5592923833714,419.27397384126186,RL
27,246.4517701827805,419.27397384126186,V1
28,110.6073875139436,419.27397384126186,RL
29,383.90280803490856,419.27397384126186,AL
30,200.51752317503136,419.27397384126186,V1
31,200.51752317503136,419.27397384126186,V1
32,375.3730262312394,419.27397384126186,RL
33,435.7917520875309,419.27397384126186,RL
34,240.20288482520306,419.27397384126186,V1
35,240.20288482520306,419.27397384126186,V1
36,324.34401432917144,419.27397384126186,V1
37,481.08938828610144,418.6134613236916,AL
38,133.18072932249163,418.6134613236916,RL
39,295.43889798197694,418.6134613236916,RL
40,295.43889798197694,418.6134613236916,RL
41,295.43889798197694,418.6134613236916,RL
42,465.89222979508907,418.6134613236916,AL
43,514.1134143182263,418.6134613236916,AL
44,411.4535758330684,418.6134613236916,AL
45,234.6634713127766,418.6134613236916,V1
46,375.838367180188,418.6134613236916,RL
47,304.5208996251829,418.6134613236916,V1
48,176.32509816682438,418.6134613236916,V1
49,351.2411191318493,418.6134613236916,RL
50,351.2411191318493,418.6134613236916,RL
51,430.866609393317,418.6134613236916,RL
52,154.44735253315693,418.6134613236916,RL
53,154.44735253315693,418.6134613236916,RL
54,286.666317292254,418.6134613236916,V1
55,177.6842417177066,418.6134613236916,V1
56,350.80395660322154,418.6134613236916,V1
57,212.00432110848226,418.6134613236916,AL
58,229.8793978730053,418.6134613236916,V1
59,186.88624154522194,418.6134613236916,V1
60,186.88624154522194,418.6134613236916,V1
61,387.89053495289136,418.6134613236916,LM
62,454.5974821023845,418.6134613236916,V1
63,371.4793444293971,418.6134613236916,RL
64,445.242795037082,418.6134613236916,RL
65,192.16274047929275,418.6134613236916,V1
66,322.2761490373087,418.6134613236916,RL
67,358.59464312123526,418.6134613236916,RL
68,358.59464312123526,418.6134613236916,RL
69,397.04158138818184,418.6134613236916,AL
70,397.04158138818184,418.6134613236916,AL
71,395.7204412360312,418.6134613236916,AL
72,289.85095959616353,418.6134613236916,RL
73,334.7548432737182,418.6134613236916,V1
74,320.5242041292912,418.6134613236916,RL
75,320.5242041292912,418.6134613236916,RL
76,320.5242041292912,418.6134613236916,RL
77,280.9969925674322,418.6134613236916,V1
78,280.9969925674322,418.6134613236916,V1
