,Inputh Depth,Output Depth,Area Membership
0,510.63946675313525,499.41312728512315,AL
1,442.02141720178577,499.41312728512315,RL
2,442.02141720178577,499.41312728512315,RL
3,317.72834166496756,499.41312728512315,RL
4,317.72834166496756,499.41312728512315,RL
5,147.01327930512076,499.41312728512315,RL
6,227.03515166615236,499.41312728512315,RL
7,496.9776073584777,499.41312728512315,RL
8,496.9776073584777,499.41312728512315,RL
9,509.1528659957989,499.41312728512315,RL
10,509.1528659957989,499.41312728512315,RL
11,103.45472817772534,77.27868350248878,RL
12,393.0801555231178,77.27868350248878,RL
13,425.5303723556542,77.27868350248878,AL
14,244.04052807009947,77.27868350248878,V1
15,277.7789938881107,501.734255642562,RL
16,405.6224030535195,501.734255642562,AL
17,192.8491164351246,501.734255642562,AL
18,192.8491164351246,501.734255642562,AL
19,213.69143906097995,501.734255642562,RL
20,213.69143906097995,501.734255642562,V1
21,213.69143906097995,501.734255642562,AL
22,327.7460827767129,501.734255642562,AL
23,317.72834166496756,501.734255642562,RL
24,317.72834166496756,501.734255642562,RL
25,173.1002499654148,501.734255642562,RL
26,371.9769394508858,501.734255642562,RL
27,371.9769394508858,501.734255642562,RL
28,391.0813923184727,501.734255642562,AL
29,312.46216156561024,501.734255642562,V1
30,184.67817538056065,510.63946675313525,V1
31,184.67817538056065,510.63946675313525,V1
32,269.6117805010157,510.63946675313525,RL
33,191.110467398375,510.63946675313525,RL
34,191.110467398375,510.63946675313525,RL
35,191.110467398375,510.63946675313525,RL
36,214.5038282565701,510.63946675313525,RL
37,304.6258396878326,510.63946675313525,AL
38,213.69143906097995,510.63946675313525,RL
39,213.69143906097995,510.63946675313525,V1
40,213.69143906097995,510.63946675313525,AL
41,213.69143906097995,510.63946675313525,RL
42,213.69143906097995,510.63946675313525,V1
43,213.69143906097995,510.63946675313525,AL
44,453.54726196147544,510.63946675313525,AL
45,387.27493475824963,510.63946675313525,V1
46,320.9444592896802,510.63946675313525,AL
47,320.9444592896802,510.63946675313525,RL
48,179.98288368588297,510.63946675313525,RL
49,99.65945414665289,510.63946675313525,RL
50,99.65945414665289,510.63946675313525,RL
51,286.1093279379728,510.63946675313525,V1
52,355.108731168281,510.63946675313525,AL
53,340.527027527102,510.63946675313525,RL
54,150.9952839642469,510.63946675313525,RL
55,234.44329994684267,510.63946675313525,AL
56,234.44329994684267,510.63946675313525,AL
57,234.44329994684267,510.63946675313525,AL
58,269.3920138882214,510.63946675313525,RL
59,172.97733203968434,510.63946675313525,AL
60,245.31747577569408,510.63946675313525,RL
61,414.16420759367276,510.63946675313525,AL
62,414.16420759367276,510.63946675313525,AL
63,252.70368829181402,510.63946675313525,AL
64,349.1631095243921,510.63946675313525,RL
65,150.84950512391265,510.63946675313525,RL
66,237.16020511773957,510.63946675313525,V1
67,336.5378561156796,510.63946675313525,AL
68,475.9929460306031,510.63946675313525,AL
69,233.45796511007444,510.63946675313525,RL
70,261.6782333038572,510.63946675313525,RL
71,474.5490327707867,510.63946675313525,RL
72,474.5490327707867,510.63946675313525,RL
73,277.7789938881107,510.63946675313525,RL
74,240.13956123848754,510.63946675313525,RL
75,380.9743745518433,510.63946675313525,RL
76,263.9890449335579,510.63946675313525,V1
77,181.65641823795886,510.63946675313525,AL
78,389.5870465900691,510.63946675313525,RL
79,310.2031144146453,510.63946675313525,V1
80,444.28269075839074,510.63946675313525,RL
81,484.70139626105066,510.63946675313525,RL
82,484.70139626105066,510.63946675313525,AL
83,513.1862860954229,510.63946675313525,RL
84,169.40789486501325,159.08272949814815,RL
85,378.9850342061887,159.08272949814815,AL
86,168.820850776497,159.08272949814815,RL
87,168.820850776497,159.08272949814815,AL
88,168.820850776497,159.08272949814815,RL
89,378.9850342061887,124.54849063642469,AL
90,225.72641035605903,124.54849063642469,RL
91,225.72641035605903,124.54849063642469,RL
92,248.71269522789126,124.54849063642469,AL
93,118.0140897209628,124.54849063642469,RL
94,154.70474749259762,124.54849063642469,AL
95,154.70474749259762,124.54849063642469,AL
96,227.38205509472925,171.6549776281148,RL
97,227.38205509472925,171.6549776281148,RL
98,248.71269522789126,171.6549776281148,AL
99,248.71269522789126,171.6549776281148,AL
100,185.21536416577297,171.6549776281148,RL
101,194.21699056270387,171.6549776281148,RL
102,291.6071228674895,171.6549776281148,AL
103,230.46603562815028,171.6549776281148,RL
104,194.41574550747353,171.6549776281148,RL
105,295.43889798197694,171.6549776281148,RL
106,201.91311209442694,152.13385350303113,AL
107,476.8519816786906,152.13385350303113,RL
108,179.6614712772017,152.13385350303113,RL
109,154.70474749259762,152.13385350303113,AL
110,378.5327573142559,152.13385350303113,RL
111,186.2401208808652,152.13385350303113,RL
112,101.82801196354646,152.13385350303113,RL
113,129.19646961015889,152.13385350303113,RL
114,113.23897340470204,154.70474749259762,RL
115,186.2401208808652,154.70474749259762,RL
116,129.19646961015889,169.97361058204046,RL
117,129.19646961015889,169.97361058204046,RL
118,124.54849063642469,169.97361058204046,AL
119,191.0448028157531,169.97361058204046,V1
120,197.37359979110124,169.97361058204046,V1
121,183.26524358524446,169.97361058204046,RL
122,183.26524358524446,169.97361058204046,RL
123,231.5166011200903,169.97361058204046,RL
124,280.99884076052365,169.97361058204046,V1
125,112.52325943054427,169.97361058204046,AL
126,169.40789486501325,169.97361058204046,RL
127,150.9347931227651,511.41570021634146,RL
128,124.54849063642469,511.41570021634146,AL
129,154.70474749259762,167.44170454334787,AL
