,Inputh Depth,Output Depth,Area Membership
0,309.6828329976719,324.42661598108657,V1
1,309.6828329976719,324.42661598108657,V1
2,203.77566466253688,324.42661598108657,V1
3,303.87738305227094,324.42661598108657,V1
4,185.51513202624483,324.42661598108657,V1
5,253.93324154771614,324.42661598108657,V1
6,332.26964308963153,324.42661598108657,V1
7,281.0924821770124,324.42661598108657,V1
8,281.0924821770124,324.42661598108657,V1
9,266.33650351822615,324.42661598108657,V1
10,325.87365109552206,324.42661598108657,V1
11,325.87365109552206,324.42661598108657,V1
12,330.8437941623397,324.42661598108657,V1
13,283.1665620038028,324.42661598108657,V1
14,299.36833234329526,324.42661598108657,V1
15,299.36833234329526,324.42661598108657,V1
16,305.4593869497437,324.42661598108657,RL
17,329.9042379231684,324.42661598108657,V1
18,265.301747305604,324.42661598108657,V1
19,276.9614627594102,324.42661598108657,V1
20,287.21316075070905,324.42661598108657,V1
21,490.7547365781529,353.09945122967537,V1
22,351.51377643312287,353.09945122967537,V1
23,341.1277159983804,353.09945122967537,V1
24,203.16260810374334,353.09945122967537,V1
25,335.356340724532,353.09945122967537,AL
26,263.07723634772066,353.09945122967537,V1
27,254.76245111535775,353.09945122967537,V1
28,370.63557059639874,353.09945122967537,V1
29,324.0021992257785,353.09945122967537,V1
30,324.0021992257785,353.09945122967537,V1
31,296.7035672299633,353.09945122967537,RL
32,296.7035672299633,353.09945122967537,RL
33,296.7035672299633,353.09945122967537,RL
34,338.6415036680727,353.09945122967537,V1
35,336.3755184186005,313.1145551135158,V1
36,205.5348627922943,313.1145551135158,V1
37,273.87595020961817,313.1145551135158,RL
38,359.5429867054929,313.1145551135158,V1
39,207.96466046008334,313.1145551135158,V1
40,207.96466046008334,313.1145551135158,V1
41,207.96466046008334,313.1145551135158,V1
42,368.66016110917235,313.1145551135158,V1
43,331.82146944399676,313.1145551135158,V1
44,323.9555522465375,313.1145551135158,V1
45,301.41813488286516,313.1145551135158,V1
46,371.7703832934035,353.85149440184847,V1
47,313.49137214547017,353.85149440184847,V1
48,254.9151670007115,353.85149440184847,V1
49,307.2739897027744,353.85149440184847,V1
50,206.64219093150336,353.85149440184847,V1
51,206.64219093150336,353.85149440184847,V1
52,206.64219093150336,353.85149440184847,V1
53,206.64219093150336,353.85149440184847,V1
54,207.5148391543234,353.85149440184847,V1
55,348.27196620206075,353.85149440184847,V1
56,348.27196620206075,353.85149440184847,V1
57,297.6523712822621,353.85149440184847,V1
58,338.7542767514648,353.85149440184847,AL
59,322.91622968585665,353.85149440184847,RL
60,428.1594464185943,353.85149440184847,RL
61,335.3490291541711,353.85149440184847,V1
62,343.38011679394293,353.85149440184847,V1
63,305.9451613479461,353.85149440184847,V1
64,351.7082827867859,331.82146944399676,V1
65,273.87595020961817,331.82146944399676,RL
66,305.9451613479461,331.82146944399676,V1
67,276.9614627594102,331.82146944399676,V1
68,254.9151670007115,331.82146944399676,V1
69,338.6415036680727,328.6832412515883,V1
70,341.1277159983804,328.6832412515883,V1
71,246.64393659402484,328.6832412515883,V1
72,421.41273580550757,328.6832412515883,V1
73,296.7035672299633,328.6832412515883,RL
74,243.76423115103233,328.6832412515883,V1
75,353.45719230962817,328.6832412515883,V1
76,370.6200504264663,328.6832412515883,V1
77,415.7913869096123,328.6832412515883,V1
78,406.7008313158038,328.6832412515883,V1
79,324.27684901146455,328.6832412515883,V1
80,205.08090906592582,328.6832412515883,V1
81,205.08090906592582,328.6832412515883,V1
82,386.1305288970862,328.6832412515883,V1
83,279.42261852401606,328.6832412515883,V1
84,188.68211738448886,312.8271887288205,V1
85,309.6828329976719,312.8271887288205,V1
86,309.6828329976719,312.8271887288205,V1
87,212.85616293693852,312.8271887288205,V1
88,276.17132761208626,312.8271887288205,V1
89,329.9042379231684,312.8271887288205,V1
90,282.65113446404183,312.8271887288205,V1
91,273.87595020961817,312.8271887288205,RL
92,305.4593869497437,312.8271887288205,RL
93,186.48361731665122,312.8271887288205,V1
94,309.6828329976719,316.8725737430516,V1
95,309.6828329976719,316.8725737430516,V1
96,313.49137214547017,316.8725737430516,V1
97,331.25558078808194,316.8725737430516,V1
98,296.2651331467834,316.8725737430516,V1
99,268.6705797621825,316.8725737430516,V1
100,452.52328768532755,316.8725737430516,V1
101,207.5148391543234,316.8725737430516,V1
102,332.3181111946292,316.8725737430516,V1
103,332.3181111946292,316.8725737430516,V1
104,324.178064081634,316.8725737430516,V1
105,292.3828958626544,316.8725737430516,V1
106,222.9754628483832,316.8725737430516,AL
107,222.9754628483832,316.8725737430516,RL
108,222.9754628483832,316.8725737430516,AL
109,222.9754628483832,316.8725737430516,RL
110,324.2239880240395,316.8725737430516,V1
111,324.2239880240395,316.8725737430516,V1
112,238.8078454770117,316.8725737430516,V1
113,262.72368656374135,316.8725737430516,V1
114,276.77134981491844,316.8725737430516,V1
115,276.2744189549005,316.8725737430516,V1
116,234.12431763723103,316.8725737430516,V1
117,237.0201501164935,316.8725737430516,V1
118,451.79737104695425,316.8725737430516,V1
119,451.79737104695425,316.8725737430516,V1
120,287.4212213304834,316.8725737430516,V1
121,347.28215148667766,323.57385163631625,RL
122,347.28215148667766,323.57385163631625,RL
123,248.45296032603196,323.57385163631625,V1
124,238.8078454770117,323.57385163631625,V1
125,294.4998074782858,323.57385163631625,V1
126,393.7762466077888,323.57385163631625,V1
127,197.58848440586024,323.57385163631625,V1
128,197.58848440586024,323.57385163631625,V1
129,280.5206686222993,323.57385163631625,V1
130,280.5206686222993,323.57385163631625,V1
131,280.5206686222993,323.57385163631625,V1
132,280.5206686222993,323.57385163631625,V1
133,276.2744189549005,323.57385163631625,V1
134,212.3383068783398,323.57385163631625,V1
135,309.6828329976719,323.57385163631625,V1
136,309.6828329976719,323.57385163631625,V1
137,353.45719230962817,323.57385163631625,V1
138,256.0608751709691,323.57385163631625,V1
139,267.5646945361815,323.57385163631625,RL
140,290.5417909969947,320.94099313751775,V1
141,296.5573549889228,320.94099313751775,V1
142,324.0021992257785,320.94099313751775,V1
143,292.9402019204,320.94099313751775,V1
144,292.9402019204,320.94099313751775,V1
145,292.9402019204,320.94099313751775,V1
146,303.13262280289206,320.94099313751775,V1
147,299.5547181470621,320.94099313751775,V1
148,304.8233538325922,320.94099313751775,V1
149,343.38011679394293,320.94099313751775,V1
150,220.55737068687026,320.94099313751775,V1
151,328.7085582791088,320.94099313751775,V1
