,Inputh Depth,Output Depth,Area Membership
0,181.07917416749387,222.43578772245587,V1
1,261.1011600653042,222.43578772245587,RL
2,350.27457219118514,222.43578772245587,V1
3,350.27457219118514,222.43578772245587,V1
4,350.27457219118514,222.43578772245587,V1
5,350.27457219118514,222.43578772245587,V1
6,350.27457219118514,222.43578772245587,V1
7,350.27457219118514,222.43578772245587,V1
8,350.27457219118514,222.43578772245587,V1
9,350.27457219118514,222.43578772245587,V1
10,144.14588834171713,222.43578772245587,V1
11,144.14588834171713,222.43578772245587,V1
12,187.2772498974234,222.43578772245587,RL
13,146.7701340145481,222.43578772245587,V1
14,217.7363641339136,222.43578772245587,V1
15,171.93390781293724,222.43578772245587,V1
16,171.93390781293724,222.43578772245587,V1
17,151.82657669969538,222.43578772245587,V1
18,241.39151441420842,222.43578772245587,V1
19,129.48542899356534,222.43578772245587,V1
20,280.2787646584806,222.43578772245587,V1
21,107.09760460713994,222.43578772245587,V1
22,107.09760460713994,222.43578772245587,V1
23,107.09760460713994,222.43578772245587,V1
24,167.36780640079482,222.43578772245587,V1
25,224.43735291779268,222.43578772245587,V1
26,206.00719860813948,222.43578772245587,V1
27,220.55737068687026,222.43578772245587,V1
28,154.1405086037835,222.43578772245587,RL
29,314.5015619614862,222.43578772245587,V1
30,314.5015619614862,222.43578772245587,V1
31,101.8176098198524,222.43578772245587,V1
32,177.59456241665845,222.43578772245587,V1
33,177.59456241665845,222.43578772245587,V1
34,256.442402842303,222.43578772245587,V1
35,212.81529603843106,222.43578772245587,V1
36,212.81529603843106,222.43578772245587,V1
37,125.95310134887835,222.43578772245587,V1
38,110.00586457602634,222.43578772245587,V1
39,266.3115042476576,222.43578772245587,V1
40,114.58398925139686,222.43578772245587,V1
41,196.92883921644645,222.43578772245587,V1
42,196.92883921644645,222.43578772245587,V1
43,146.58117750759814,222.43578772245587,V1
44,283.4948525821388,222.43578772245587,V1
45,222.77965629260132,222.43578772245587,RL
46,222.77965629260132,222.43578772245587,RL
47,162.4114790753951,222.43578772245587,V1
48,162.4114790753951,222.43578772245587,V1
49,162.4114790753951,222.43578772245587,V1
50,162.4114790753951,222.43578772245587,V1
51,141.4195921198596,222.43578772245587,V1
52,141.4195921198596,222.43578772245587,V1
53,141.4195921198596,222.43578772245587,V1
54,141.4195921198596,222.43578772245587,V1
55,141.4195921198596,222.43578772245587,V1
56,141.4195921198596,222.43578772245587,V1
57,226.5949574395563,222.43578772245587,V1
58,254.59586430042825,222.43578772245587,V1
59,216.29314473662228,222.43578772245587,V1
60,162.84309228405363,222.43578772245587,RL
61,146.98602761506493,222.43578772245587,V1
62,146.98602761506493,222.43578772245587,V1
63,146.98602761506493,222.43578772245587,V1
64,164.4012236474455,222.43578772245587,AL
65,164.4012236474455,222.43578772245587,V1
66,175.03063359293407,222.43578772245587,RL
67,153.70360601023077,222.43578772245587,V1
68,153.70360601023077,222.43578772245587,V1
69,209.41993176816922,222.43578772245587,RL
70,195.01493166343525,222.43578772245587,V1
71,330.548854165233,311.6281851169438,V1
72,336.3755184186005,311.6281851169438,V1
73,221.97689048896805,311.6281851169438,V1
74,326.6214732706673,311.6281851169438,V1
75,326.6214732706673,311.6281851169438,V1
76,145.4905535699423,258.7923159596563,RL
77,261.95060254923317,258.7923159596563,V1
78,196.3894807939835,258.7923159596563,V1
79,196.3894807939835,258.7923159596563,V1
80,304.8349426416263,258.7923159596563,RL
81,353.42837732191543,258.7923159596563,V1
82,297.8102009799034,258.7923159596563,V1
83,242.852709567605,258.7923159596563,V1
84,208.33448209839727,258.7923159596563,V1
85,254.76245111535775,258.7923159596563,V1
86,254.76245111535775,258.7923159596563,V1
87,198.79534810581438,258.1181622197872,V1
88,328.7085582791088,258.1181622197872,V1
89,236.8586771138516,258.1181622197872,RL
90,259.4878277720686,258.1181622197872,RL
91,317.1685232526598,258.1181622197872,V1
92,317.1685232526598,258.1181622197872,V1
93,281.41476138710607,258.1181622197872,V1
