,Inputh Depth,Output Depth,Area Membership
0,159.63807066556038,335.6024338773485,AL
1,212.00432110848226,335.6024338773485,AL
2,310.4027361608274,335.6024338773485,RL
3,207.70810102076916,335.6024338773485,RL
4,451.20468906204957,335.6024338773485,AL
5,188.5155274090962,335.6024338773485,RL
6,274.0307736963945,335.6024338773485,AL
7,500.5892986299627,335.6024338773485,RL
8,158.54056961173757,335.6024338773485,AL
9,476.3538667870521,335.6024338773485,AL
10,228.95562068535384,335.6024338773485,RL
11,228.95562068535384,335.6024338773485,RL
12,221.35961345989054,335.6024338773485,V1
13,234.6634713127766,320.5242041292912,V1
14,254.87825747694967,320.5242041292912,AL
15,254.87825747694967,320.5242041292912,AL
16,299.241395533735,320.5242041292912,AL
17,248.52486545742892,320.5242041292912,RL
18,286.666317292254,320.5242041292912,V1
19,350.80395660322154,320.5242041292912,V1
20,291.36808187670266,320.5242041292912,V1
21,212.8502645787312,320.5242041292912,RL
22,307.157312325819,296.663739018268,V1
23,307.157312325819,296.663739018268,V1
24,326.88557293413135,296.663739018268,RL
25,326.88557293413135,296.663739018268,RL
26,371.1641746764665,296.663739018268,V1
27,262.41854232218765,296.663739018268,RL
28,442.02141720178577,296.663739018268,RL
29,279.4724133717236,296.663739018268,RL
30,279.4724133717236,296.663739018268,V1
31,337.15848417990884,296.663739018268,RL
32,328.1379568768392,296.663739018268,AL
33,348.8630551882542,296.663739018268,AL
34,395.71240662883486,296.663739018268,V1
35,350.2874601488502,296.663739018268,RL
36,300.4016127811918,296.663739018268,AL
37,305.74230052315903,296.663739018268,RL
38,261.09546645401423,296.663739018268,RL
39,124.44106528654783,296.663739018268,V1
40,124.44106528654783,296.663739018268,V1
41,379.76239493262625,296.663739018268,RL
42,408.9034038753974,296.663739018268,RL
43,408.9034038753974,296.663739018268,RL
44,299.387578600465,296.663739018268,V1
45,154.68619404446514,296.663739018268,V1
46,363.01002376615554,296.663739018268,AL
47,418.6893275170413,296.663739018268,RL
48,339.05496502127517,349.59761277341744,RL
49,355.241273539456,349.59761277341744,RL
50,390.3617188625938,349.59761277341744,AL
51,350.48598327936764,349.59761277341744,V1
52,402.9807009679892,349.59761277341744,V1
53,394.23441817072194,349.59761277341744,AL
54,292.8212991912922,349.59761277341744,V1
55,333.2821150261891,349.59761277341744,RL
56,394.50138080721774,349.59761277341744,V1
57,220.56569176973292,309.6241903492815,RL
58,158.54163852634798,309.6241903492815,RL
59,313.91682706084646,309.6241903492815,RL
60,342.9183862884774,309.6241903492815,RL
61,342.9183862884774,309.6241903492815,RL
62,319.9595578536181,343.2614458790874,RL
63,183.26524358524446,343.2614458790874,RL
64,183.26524358524446,343.2614458790874,RL
65,451.20468906204957,343.2614458790874,AL
66,284.5060232630898,343.2614458790874,V1
67,284.5060232630898,343.2614458790874,V1
68,293.2010927330573,348.33459329253185,RL
69,208.6039862637659,348.33459329253185,AL
70,208.6039862637659,348.33459329253185,AL
71,320.37570924096514,348.33459329253185,RL
72,320.37570924096514,348.33459329253185,RL
73,223.86862940966878,348.33459329253185,RL
74,223.86862940966878,348.33459329253185,AL
75,232.031971364718,348.33459329253185,V1
76,377.97059685255397,348.33459329253185,V1
77,373.4457665653148,348.33459329253185,AL
78,297.55459533818936,348.33459329253185,RL
79,279.2544678846859,348.33459329253185,RL
80,279.2544678846859,348.33459329253185,RL
81,329.1671064743588,348.33459329253185,AL
82,343.6247076314429,348.33459329253185,RL
83,343.6247076314429,348.33459329253185,RL
84,163.13109260242146,348.33459329253185,RL
85,307.32762838844894,348.33459329253185,RL
86,130.4055029473636,348.33459329253185,V1
87,130.4055029473636,348.33459329253185,V1
88,259.92316812145225,348.33459329253185,RL
89,338.948347597446,348.33459329253185,AL
90,427.5749438589507,348.33459329253185,RL
91,395.0707674233246,348.33459329253185,V1
92,310.8724413446369,305.74230052315903,V1
93,310.8724413446369,305.74230052315903,V1
94,263.24781023845014,305.74230052315903,AL
95,231.53446228592918,305.74230052315903,V1
96,231.53446228592918,305.74230052315903,V1
97,231.53446228592918,305.74230052315903,V1
98,241.6388499472667,305.74230052315903,RL
99,425.7270764673906,305.74230052315903,V1
100,119.48988147449005,305.74230052315903,AL
101,313.2636844622582,305.74230052315903,AL
102,303.67501345006707,305.74230052315903,AL
103,303.67501345006707,305.74230052315903,AL
104,218.07294714754536,305.74230052315903,AL
105,151.57423615043348,293.17320289537804,AL
106,363.2745297629908,293.17320289537804,AL
107,275.6759563625183,293.17320289537804,RL
108,309.1381268416938,293.17320289537804,RL
109,312.01742753154673,293.17320289537804,RL
110,244.04052807009947,293.17320289537804,V1
111,210.73896063169016,293.17320289537804,RL
112,210.73896063169016,293.17320289537804,RL
113,316.189198730646,293.17320289537804,RL
114,277.1943486173779,293.17320289537804,V1
115,225.30445024041163,293.17320289537804,AL
116,288.8710865564333,293.17320289537804,V1
117,146.85536261129187,293.17320289537804,AL
118,331.2523995313543,293.17320289537804,AL
119,282.1357053440494,329.6228235046068,RL
120,179.71450573025803,329.6228235046068,RL
121,316.8441614015031,329.6228235046068,RL
122,316.8441614015031,329.6228235046068,RL
123,267.6561100737741,329.6228235046068,RL
124,244.92751032425562,329.6228235046068,V1
125,244.92751032425562,329.6228235046068,V1
126,212.00432110848226,329.6228235046068,AL
127,212.00432110848226,329.6228235046068,AL
128,113.11169229759852,329.6228235046068,V1
129,208.1988173458593,329.6228235046068,RL
130,241.6388499472667,329.6228235046068,RL
131,201.3681486370932,329.6228235046068,V1
132,473.2968519947646,329.6228235046068,RL
